#Frame         radius     distplot         rmsf  ligand_rmsd            C           CA            O            N         SASA
      66      21.7713       1.6612      57.5447       1.7461       2.3830       2.3977       2.4936       2.3612     172.7239
      67      21.7920       1.6869      78.6401       1.8863       2.3825       2.3971       2.4904       2.3515     163.9599
      68      21.6969       1.6688      93.0792       1.8057       2.3726       2.4007       2.4591       2.3587     165.5107
      69      21.6398       1.4790      73.6748       1.9442       2.1341       2.1535       2.2655       2.0988     159.2064
      70      21.6819       1.5464     111.1356       1.8509       2.2384       2.2559       2.3714       2.1974     153.6886
      71      21.5748       1.4118     107.1520       1.8114       2.0068       2.0253       2.1363       1.9734     158.2432
      72      21.5493       1.3092      92.4854       1.8543       1.9007       1.9165       2.0408       1.8664     169.8761
      73      21.5677       1.2690     118.4711       1.9007       1.8575       1.8781       1.9975       1.8280     159.2513
      74      21.6267       1.3244      39.6836       1.8451       1.9739       1.9990       2.0983       1.9533     165.8600
      75      21.5966       1.3907     134.0598       1.9315       2.0590       2.0828       2.1857       2.0387     159.7389
      76      21.5834       1.4504      15.3473       1.8930       2.1383       2.1575       2.2731       2.1071     165.6070
      77      21.5955       1.3874      44.9750       1.8469       2.1152       2.1408       2.2380       2.0910     164.8358
      78      21.6893       1.3830      29.5763       1.9397       2.1154       2.1347       2.2456       2.0930     158.7739
      79      21.5797       1.4259      28.4984       1.8539       2.1166       2.1310       2.2520       2.0928     164.5044
      80      21.5812       1.5265      23.1818       1.7722       2.1832       2.2050       2.3153       2.1579     153.1015
      81      21.6250       1.5175      41.0039       2.0525       2.2200       2.2446       2.3451       2.1900     171.0363
      82      21.5497       1.4145      26.8014       1.8308       2.0696       2.0975       2.1852       2.0426     163.2121
      83      21.6215       1.4545      25.7115       1.8831       2.1679       2.1919       2.3016       2.1354     169.0236
      84      21.5788       1.4167      29.1009       1.8449       2.1119       2.1315       2.2437       2.0731     154.7801
      85      21.6375       1.4757      37.1670       1.9083       2.1871       2.2062       2.3031       2.1595     170.0731
      86      21.6763       1.4718      23.3781       1.8288       2.2098       2.2295       2.3399       2.1798     158.4737
      87      21.6057       1.5167      54.6645       1.9493       2.2902       2.3111       2.4019       2.2650     160.5947
      88      21.6959       1.6027      42.0337       1.7918       2.3628       2.3898       2.4830       2.3318     163.7582
      89      21.6293       1.5022      92.0801       1.8906       2.1984       2.2214       2.3383       2.1643     163.0002
      90      21.6677       1.7155     107.2172       1.9101       2.3915       2.4254       2.4920       2.3823     163.8913
      91      21.6142       1.5492      38.9244       1.9542       2.1952       2.2252       2.3038       2.1777     158.1065
      92      21.6100       1.5583      34.0937       1.8811       2.1678       2.1945       2.2883       2.1511     152.8932
      93      21.6730       1.5516      32.6890       1.8007       2.1048       2.1342       2.2184       2.0883     161.8085
      94      21.6048       1.5196      22.3898       1.7685       2.0341       2.0713       2.1415       2.0242     153.2945
      95      21.7218       1.5754      15.4277       1.7463       2.1450       2.1735       2.2599       2.1229     155.6339
      96      21.6581       1.3727      17.0792       1.7415       1.8993       1.9251       2.0213       1.8782     146.7319
      97      21.6805       1.3439      22.9973       1.8147       1.9447       1.9663       2.0752       1.9126     166.0538
      98      21.6459       1.2882      34.5981       1.8648       1.9265       1.9501       2.0443       1.9072     158.8181
      99      21.6107       1.3531      40.8309       1.9039       1.9893       2.0135       2.1160       1.9650     139.2743
     100      21.6962       1.5374      67.8918       1.8206       2.1899       2.2211       2.2846       2.1863     159.6779
     101      21.6497       1.3738      69.8603       1.8033       2.0105       2.0443       2.1037       2.0017     147.1787
     102      21.6094       1.4071     129.1169       1.8420       1.9931       2.0294       2.0974       1.9896     149.3647
     103      21.5894       1.3422     122.4121       1.7871       1.9198       1.9481       2.0423       1.9031     149.4029
     104      21.6210       1.3599      59.7200       1.8134       1.9647       1.9935       2.0782       1.9495     155.0351
     105      21.6351       1.2989      73.7581       1.8319       1.8878       1.9156       2.0284       1.8588     156.5094
     106      21.6624       1.3434      76.5108       1.8116       1.9519       1.9791       2.0737       1.9265     156.5798
     107      21.6341       1.3285      65.7315       1.7878       1.9718       2.0003       2.0810       1.9578     168.1257
     108      21.6505       1.5128     113.9958       1.8733       2.2061       2.2361       2.2916       2.2099     155.4610
     109      21.6027       1.4842      95.7405       1.8108       2.1472       2.1767       2.2564       2.1395     149.1659
     110      21.7226       1.5220      54.3347       1.8214       2.1447       2.1686       2.2665       2.1238     159.8297
     111      21.6603       1.4352      76.5191       1.8010       2.0902       2.1116       2.2219       2.0694     154.5678
     112      21.6754       1.5047     112.4292       1.8450       2.1911       2.2107       2.3214       2.1624     154.3807
     113      21.5413       1.2868      72.2642       1.7798       1.8704       1.8991       1.9845       1.8584     139.8506
     114      21.6009       1.3815      68.8104       1.7516       1.9718       1.9962       2.0998       1.9504     146.8152
     115      21.6359       1.4311     130.2676       1.8332       2.0583       2.0875       2.1819       2.0421     156.6106
     116      21.5322       1.3538     115.0517       1.7745       1.8042       1.8334       1.9456       1.7795     161.1666
     117      21.5820       1.3011     154.5586       1.8964       1.7988       1.8226       1.9362       1.7816     154.1616
     118      21.5275       1.1591     115.2938       1.8092       1.6328       1.6611       1.7723       1.6110     150.7831
     119      21.5946       1.2629      91.2916       1.8228       1.8150       1.8411       1.9540       1.7894     151.6868
     120      21.5101       1.2455     151.6750       1.8066       1.6707       1.6895       1.8319       1.6323     139.1851
     121      21.5358       1.2396     300.2392       1.8973       1.5868       1.6132       1.7430       1.5511     152.8619
     122      21.5350       1.2681     100.7424       1.7969       1.7191       1.7367       1.8776       1.6860     163.4098
     123      21.5586       1.2643     115.6205       1.8496       1.5843       1.6126       1.7402       1.5599     155.6833
     124      21.6505       1.2781     108.4715       1.6528       1.7034       1.7299       1.8430       1.6771     152.5454
     125      21.5843       1.3272     143.5071       1.7208       1.8884       1.9188       2.0342       1.8636     143.1385
     126      21.5112       1.2928     268.8493       1.7785       1.8328       1.8542       1.9624       1.8156     134.2792
     127      21.5820       1.3378     349.1762       1.8315       1.9115       1.9429       2.0324       1.8931     141.0515
     128      21.5798       1.3775     191.2243       1.8066       1.9724       2.0054       2.0881       1.9582     155.7392
     129      21.5955       1.3118     285.7499       1.7811       1.8589       1.8892       1.9709       1.8403     157.8591
     130      21.5970       1.3176      79.6902       1.7924       1.7834       1.8070       1.8975       1.7686     154.8887
     131      21.6357       1.3245      52.6122       1.7222       1.8352       1.8611       1.9561       1.8164     161.8550
     132      21.5926       1.3225      68.1822       1.7169       1.7802       1.8067       1.8948       1.7714     150.9642
     133      21.6579       1.3482      47.2103       1.7913       1.9084       1.9313       2.0202       1.8931     140.1535
     134      21.6347       1.3872      95.2151       1.9039       1.9500       1.9765       2.0494       1.9460     141.5382
     135      21.6765       1.3675      61.5377       1.9364       1.9399       1.9658       2.0407       1.9235     165.9915
     136      21.6405       1.3818      92.7645       1.7833       1.9593       1.9788       2.0805       1.9329     168.0564
     137      21.7219       1.4561      56.2966       1.7681       1.9843       2.0137       2.0873       1.9738     171.5638
     138      21.7290       1.4482      81.5314       1.9102       2.0343       2.0466       2.1325       2.0088     157.6479
     139      21.6859       1.3282     129.3538       1.7404       1.8068       1.8143       1.9363       1.7664     157.6785
     140      21.6738       1.3740      46.9983       1.8759       1.9101       1.9307       2.0097       1.8916     151.4984
     141      21.5947       1.4175     113.5598       1.8673       1.9714       1.9900       2.0829       1.9494     163.3365
     142      21.6714       1.4203      50.9436       1.7810       1.9469       1.9711       2.0510       1.9302     144.1583
     143      21.7713       1.4727      52.5862       1.8461       1.9728       1.9942       2.0942       1.9589     148.9318
     144      21.6182       1.3714      40.4718       2.0179       1.8611       1.8991       1.9686       1.8577     152.4245
     145      21.6635       1.3355      73.1560       1.9107       1.7443       1.7722       1.8643       1.7337     149.9987
     146      21.6537       1.3733      34.9631       1.8330       1.8150       1.8495       1.9275       1.8122     156.5010
     147      21.6573       1.3405      37.5818       1.8541       1.7649       1.7860       1.8858       1.7435     153.3207
     148      21.6338       1.3986      32.3204       1.7966       1.8587       1.8726       1.9703       1.8344     136.6049
     149      21.5485       1.3519      40.5036       1.8410       1.7665       1.7856       1.8894       1.7330     137.0120
     150      21.5669       1.4231      50.0672       1.8658       1.8244       1.8583       1.9362       1.8197     151.2847
     151      21.7024       1.4355      44.5541       1.8324       1.9598       1.9937       2.0583       1.9491     159.2848
     152      21.6773       1.3657      58.9045       1.8038       1.8838       1.9113       2.0125       1.8739     155.0345
     153      21.5680       1.2857      32.9411       1.8366       1.7816       1.8040       1.9237       1.7589     174.1503
     154      21.6400       1.3456      32.4920       1.6236       1.7805       1.8170       1.9079       1.7703     164.9402
