#Frame         radius     distplot         rmsf  ligand_rmsd            C           CA            O            N         SASA
    4761      21.5851       1.9398       0.0000       1.9199       1.6920       1.7408       1.8123       1.6844     173.8045
    4762      21.6295       1.9955       0.0000       1.8688       1.8167       1.8576       1.9265       1.8141     176.1072
    4763      21.6269       1.9260       0.0000       2.0491       1.8415       1.8908       1.9559       1.8307     172.8312
    4764      21.6707       1.9941       0.0000       2.1861       1.9356       1.9901       2.0316       1.9422     173.2852
    4765      21.7087       2.0284       0.0000       2.0430       1.9168       1.9571       2.0387       1.8983     159.7032
    4766      21.6684       2.0330       0.0000       1.9424       1.8680       1.9130       1.9642       1.8624     165.0865
    4767      21.7030       2.0184       0.0000       1.9109       1.8449       1.9006       1.9506       1.8514     169.8413
    4768      21.6258       1.9659       0.0000       1.9366       1.8495       1.8914       1.9538       1.8509     175.4627
    4769      21.6594       1.8822       0.0000       2.0899       1.7298       1.7785       1.8611       1.7286     178.6800
    4770      21.6606       2.0134       0.0000       1.9964       1.7482       1.7918       1.8496       1.7513     163.3599
    4771      21.6114       1.9754       0.0000       2.0627       1.6897       1.7364       1.8076       1.6808     180.4229
    4772      21.6167       2.0451       0.0000       2.0062       1.8320       1.8770       1.9351       1.8388     172.0789
    4773      21.6557       2.0321       0.0000       2.0240       1.8282       1.8733       1.9225       1.8289     165.2299
    4774      21.7090       1.9684       0.0000       2.0304       1.7900       1.8383       1.9098       1.7968     174.7468
    4775      21.6471       2.0361       0.0000       2.0773       1.8643       1.9187       1.9607       1.8747     177.7148
    4776      21.6951       1.9598       0.0000       2.0449       1.8471       1.8872       1.9520       1.8430     160.1665
    4777      21.6273       2.0988       0.0000       2.1864       1.9570       2.0129       2.0331       1.9645     162.0739
    4778      21.6887       2.1375       0.0000       1.9881       2.0184       2.0757       2.0931       2.0302     163.7517
    4779      21.7552       2.1719       0.0000       1.9846       2.0562       2.1056       2.1404       2.0670     177.4172
    4780      21.7474       2.3564       0.0000       2.0074       2.1732       2.2241       2.2690       2.1751     169.0128
    4781      21.6905       2.2815       0.0000       2.0270       2.1667       2.2127       2.2667       2.1688     179.5522
    4782      21.7208       2.0536       0.0000       2.1139       1.9606       2.0128       2.0577       1.9683     182.5170
    4783      21.7002       2.0598       0.0000       2.0470       1.9738       2.0239       2.0634       1.9755     169.9061
    4784      21.7188       2.0870       0.0000       2.0655       1.9782       2.0348       2.0605       2.0006     166.6799
    4785      21.6684       2.1908       0.0000       2.1011       2.1696       2.2184       2.2650       2.1823     172.4954
    4786      21.7019       2.1531       0.0000       1.9237       2.1344       2.1876       2.2216       2.1467     179.8450
    4787      21.6681       2.0223       0.0000       2.0559       1.9234       1.9754       2.0361       1.9253     173.0188
    4788      21.6850       1.9862       0.0000       2.0950       1.9419       1.9953       2.0352       1.9521     174.2313
    4789      21.7230       1.9570       0.0000       1.9776       1.9108       1.9774       2.0093       1.9284     174.3926
    4790      21.6703       2.0548       0.0000       2.0154       2.1431       2.1848       2.2583       2.1318     174.6418
    4791      21.6677       1.9476       0.0000       1.9298       1.9696       2.0188       2.0743       1.9734     187.8006
    4792      21.6049       1.8365       0.0000       1.9395       1.7040       1.7446       1.8194       1.7163     168.6045
    4793      21.5610       1.6929       0.0000       1.8618       1.5286       1.5814       1.6390       1.5445     176.3071
    4794      21.6138       1.7221       0.0000       2.0121       1.7099       1.7520       1.8327       1.7000     185.3063
    4795      21.6336       1.7528       0.0000       1.9005       1.7518       1.7980       1.8592       1.7557     176.1162
    4796      21.6711       1.8094       0.0000       1.9320       1.9408       1.9906       2.0479       1.9430     184.1283
    4797      21.6824       1.8922       0.0000       2.1289       1.8505       1.8979       1.9582       1.8609     168.3628
    4798      21.6658       1.8806       0.0000       1.9930       1.8292       1.8755       1.9363       1.8401     176.8094
    4799      21.7238       1.8760       0.0000       1.8273       1.9454       1.9933       2.0567       1.9569     193.6044
    4800      21.6368       1.9562       0.0000       2.0033       2.0138       2.0682       2.1002       2.0292     182.0792
    4801      21.5986       1.8046       0.0000       1.8678       1.8254       1.8802       1.9204       1.8418     179.5924
    4802      21.6631       1.8451       0.0000       2.1049       1.8418       1.8916       1.9371       1.8472     195.5986
    4803      21.6825       1.8157       0.0000       1.9807       1.7829       1.8294       1.8835       1.7928     188.5316
    4804      21.5658       1.8349       0.0000       1.8960       1.6006       1.6453       1.7205       1.6007     183.3719
    4805      21.5653       1.9610       0.0000       2.0848       1.8192       1.8722       1.9218       1.8305     210.7891
    4806      21.5688       1.9031       0.0000       1.8493       1.7642       1.8166       1.8825       1.7678     178.7305
    4807      21.5850       1.8713       0.0000       1.8181       1.7521       1.7991       1.8704       1.7396     189.6047
    4808      21.6789       1.8638       0.0000       1.9604       1.8041       1.8374       1.9150       1.7938     171.4416
    4809      21.6243       1.8958       0.0000       1.8595       1.8706       1.9133       1.9682       1.8690     176.5048
    4810      21.6293       1.8987       0.0000       1.8974       1.9189       1.9698       2.0274       1.9230     169.2344
    4811      21.5397       1.8944       0.0000       1.8780       1.8567       1.9132       1.9542       1.8666     174.9279
    4812      21.5776       1.8622       0.0000       1.9904       1.8033       1.8547       1.9122       1.8067     173.3598
    4813      21.5366       1.8616       0.0000       1.9222       1.7449       1.7995       1.8455       1.7526     176.8435
    4814      21.6834       1.9700       0.0000       1.9362       1.8940       1.9444       1.9871       1.9089     181.5472
    4815      21.6070       1.9503       0.0000       1.8496       1.8568       1.9088       1.9459       1.8675     175.9155
    4816      21.6261       1.9203       0.0000       1.9245       1.8137       1.8647       1.9202       1.8106     183.6835
    4817      21.6797       1.8606       0.0000       1.9274       1.8036       1.8478       1.9127       1.8004     185.6314
    4818      21.6657       1.9389       0.0000       1.8407       2.0123       2.0559       2.1210       2.0106     189.2296
    4819      21.5810       1.9019       0.0000       1.9059       1.9215       1.9606       2.0309       1.9152     190.4709
    4820      21.5939       1.9106       0.0000       1.9198       1.9773       2.0200       2.0810       1.9793     185.8763
    4821      21.6209       1.9476       0.0000       1.9228       1.9914       2.0372       2.1019       1.9858     178.6463
    4822      21.7316       1.9833       0.0000       1.9564       2.0257       2.0681       2.1273       2.0234     180.6008
    4823      21.6000       1.9362       0.0000       1.9461       1.9721       2.0218       2.0723       1.9720     178.8347
    4824      21.6336       1.9625       0.0000       1.9199       1.9787       2.0306       2.0846       1.9858     165.8659
    4825      21.7189       1.9149       0.0000       1.8984       1.9390       2.0017       2.0297       1.9661     170.9838
    4826      21.6475       1.8990       0.0000       1.9774       1.8611       1.9146       1.9632       1.8650     179.3274
    4827      21.5295       1.8961       0.0000       1.9311       1.7486       1.8069       1.8405       1.7584     174.3539
    4828      21.5555       1.9350       0.0000       1.7927       1.7297       1.7865       1.8357       1.7340     158.0884
    4829      21.6134       1.9461       0.0000       1.9928       1.8674       1.9252       1.9577       1.8816     182.0467
    4830      21.5712       1.8853       0.0000       2.0163       1.8059       1.8533       1.9124       1.8089     186.3736
    4831      21.6153       1.8963       0.0000       1.8738       1.8034       1.8467       1.8953       1.8100     174.9503
    4832      21.7183       1.8785       0.0000       1.9644       1.8766       1.9130       1.9855       1.8692     156.0978
    4833      21.6029       1.8881       0.0000       1.9044       1.8090       1.8601       1.9058       1.8177     177.7561
    4834      21.6483       1.8335       0.0000       1.9654       1.6290       1.6785       1.7417       1.6217     171.0606
    4835      21.6010       1.8233       0.0000       1.8571       1.6281       1.6740       1.7389       1.6224     164.4042
    4836      21.6532       1.8228       0.0000       1.9209       1.7312       1.7778       1.8409       1.7288     168.9845
    4837      21.6857       1.8882       0.0000       1.9208       1.7679       1.8073       1.8944       1.7531     174.6286
    4838      21.6153       1.8975       0.0000       1.8522       1.7212       1.7629       1.8395       1.7091     162.7590
    4839      21.6193       1.8923       0.0000       1.9127       1.7638       1.8134       1.8639       1.7658     191.5043
    4840      21.6898       1.9418       0.0000       1.8445       1.7640       1.8146       1.8610       1.7694     179.9133
    4841      21.5641       1.8441       0.0000       1.7438       1.5963       1.6539       1.7109       1.6016     158.4302
    4842      21.6068       1.8306       0.0000       1.8083       1.5452       1.5995       1.6546       1.5562     176.7336
    4843      21.6286       1.9030       0.0000       1.9263       1.6958       1.7444       1.7999       1.6929     159.8879
    4844      21.7040       1.8662       0.0000       1.7786       1.7181       1.7642       1.8237       1.7225     156.4384
    4845      21.5667       1.7883       0.0000       1.8670       1.7074       1.7482       1.8066       1.6988     159.2961
    4846      21.5891       1.8262       0.0000       1.9089       1.6288       1.6685       1.7433       1.6268     172.9121
    4847      21.5309       1.7871       0.0000       1.8187       1.6174       1.6615       1.7315       1.6158     173.9148
    4848      21.5904       1.8871       0.0000       1.9950       1.7296       1.7785       1.8243       1.7407     167.2068
    4849      21.6221       1.9341       0.0000       1.9400       1.8955       1.9407       1.9908       1.9022     165.1203
    4850      21.6522       1.9465       0.0000       1.8092       1.8775       1.9328       1.9805       1.8975     169.4868
    4851      21.6165       1.8854       0.0000       1.9817       1.7745       1.8231       1.8731       1.7854     167.8412
    4852      21.6688       1.9610       0.0000       1.9603       1.8580       1.9068       1.9625       1.8647     156.7213
    4853      21.6795       2.0442       0.0000       1.8177       1.9204       1.9674       2.0310       1.9172     163.8979
    4854      21.6974       2.1243       0.0000       1.8986       1.9945       2.0349       2.0978       1.9877     177.4291
    4855      21.6909       2.2227       0.0000       1.9515       2.0053       2.0546       2.1039       2.0098     173.7494
    4856      21.7106       2.1994       0.0000       1.9362       1.9787       2.0316       2.0823       1.9833     168.5103
    4857      21.5584       2.2127       0.0000       1.8347       1.9714       2.0166       2.0808       1.9696     159.9744
    4858      21.6582       2.1394       0.0000       1.9793       1.9423       1.9932       2.0383       1.9485     168.5044
    4859      21.6435       2.0138       0.0000       2.0274       1.7862       1.8324       1.8967       1.7879     174.8364
    4860      21.6391       1.9251       0.0000       1.9901       1.9040       1.9593       1.9837       1.9224     162.5664
    4861      21.6131       1.8221       0.0000       1.8468       1.8534       1.9114       1.9412       1.8724     176.3654
    4862      21.6813       1.9384       0.0000       2.0422       2.0511       2.1048       2.1425       2.0699     184.4460
    4863      21.6979       1.9713       0.0000       1.9514       2.0506       2.1048       2.1386       2.0626     174.1217
    4864      21.6970       2.0043       0.0000       1.9195       2.0361       2.0810       2.1351       2.0413     189.5211
    4865      21.6263       1.9445       0.0000       2.0657       1.8893       1.9352       2.0024       1.8876     171.0028
    4866      21.6433       1.9117       0.0000       1.8396       1.8656       1.9119       1.9765       1.8654     175.0341
    4867      21.6302       1.8702       0.0000       2.0137       1.8286       1.8790       1.9330       1.8294     173.2238
    4868      21.6387       1.8568       0.0000       1.9415       1.8410       1.8881       1.9491       1.8518     197.0544
    4869      21.7099       1.9374       0.0000       1.7760       1.8991       1.9451       2.0100       1.8982     162.0769
    4870      21.6528       1.8676       0.0000       1.8983       1.8652       1.9079       1.9673       1.8647     168.9989
    4871      21.6550       1.8393       0.0000       1.8801       1.8513       1.8982       1.9501       1.8620     173.4276
    4872      21.6673       1.7905       0.0000       1.8579       1.8207       1.8724       1.9174       1.8308     178.6428
    4873      21.6642       1.7806       0.0000       1.9126       1.7883       1.8405       1.8738       1.7934     182.3990
    4874      21.7088       1.9415       0.0000       1.8623       1.9091       1.9598       2.0078       1.9126     166.6116
    4875      21.6727       1.8602       0.0000       1.8958       1.8235       1.8762       1.9205       1.8289     177.7339
    4876      21.6833       1.9501       0.0000       2.1421       1.8209       1.8725       1.9202       1.8261     185.3511
    4877      21.7201       1.8142       0.0000       2.0320       1.8775       1.9250       1.9782       1.8849     170.5742
    4878      21.7298       1.8682       0.0000       2.0349       1.8858       1.9311       1.9765       1.8903     192.3596
    4879      21.7168       1.8793       0.0000       2.1036       1.9470       1.9942       2.0496       1.9429     180.2239
    4880      21.6655       1.9108       0.0000       1.8821       1.8769       1.9316       1.9819       1.8917     164.5051
    4881      21.6397       1.8697       0.0000       1.9171       1.8190       1.8747       1.9198       1.8259     190.8295
    4882      21.6572       1.8451       0.0000       1.9776       1.8923       1.9540       1.9929       1.9069     171.2801
    4883      21.6285       1.8978       0.0000       2.0839       1.7814       1.8415       1.8902       1.7979     195.1661
    4884      21.6986       1.9239       0.0000       2.1748       1.8305       1.8822       1.9369       1.8340     175.2122
    4885      21.6682       1.8127       0.0000       2.1583       1.7461       1.7991       1.8571       1.7472     174.9738
    4886      21.6421       1.8277       0.0000       2.1929       1.7509       1.8003       1.8503       1.7494     172.0571
    4887      21.5664       1.8209       0.0000       1.9359       1.7383       1.7827       1.8643       1.7313     165.5864
    4888      21.6031       1.7958       0.0000       1.9496       1.6650       1.7085       1.7848       1.6557     171.2195
    4889      21.5747       1.7078       0.0000       1.8383       1.5702       1.6201       1.6796       1.5750     180.3415
    4890      21.5332       1.7375       0.0000       1.9501       1.6195       1.6712       1.7173       1.6293     171.5663
    4891      21.6269       1.8041       0.0000       1.9470       1.6380       1.7052       1.7408       1.6591     180.4524
    4892      21.6441       1.8489       0.0000       1.9275       1.6802       1.7344       1.7900       1.6825     184.3800
    4893      21.5317       1.8018       0.0000       1.7517       1.6256       1.6760       1.7384       1.6266     173.9621
    4894      21.4737       1.7679       0.0000       1.9382       1.6802       1.7224       1.7989       1.6674     163.2212
    4895      21.5651       1.7611       0.0000       1.8255       1.6095       1.6667       1.7080       1.6125     162.1661
    4896      21.5674       1.7582       0.0000       2.0082       1.6210       1.6736       1.7534       1.6131     184.7394
    4897      21.6013       1.8115       0.0000       2.0463       1.7506       1.8072       1.8789       1.7423     183.2533
    4898      21.6801       1.8471       0.0000       2.0510       1.8070       1.8473       1.9404       1.7903     175.9813
    4899      21.5913       1.8142       0.0000       1.8158       1.6604       1.7271       1.7659       1.6691     173.7256
    4900      21.5729       1.8451       0.0000       1.7887       1.6653       1.7101       1.8038       1.6346     173.2250
    4901      21.5270       1.8463       0.0000       1.9350       1.5978       1.6540       1.7170       1.6010     180.4691
    4902      21.5705       1.8406       0.0000       1.9115       1.6020       1.6630       1.7322       1.6115     173.8077
    4903      21.5850       1.9157       0.0000       1.8964       1.6801       1.7364       1.8026       1.6772     161.8286
    4904      21.5144       1.9564       0.0000       1.7766       1.6610       1.7240       1.7788       1.6699     164.7194
    4905      21.5553       1.9097       0.0000       1.9099       1.6108       1.6618       1.7213       1.6145     165.7658
    4906      21.5361       2.0006       0.0000       1.9363       1.6659       1.7203       1.7844       1.6663     170.1954
    4907      21.5468       1.8456       0.0000       1.7357       1.5474       1.6030       1.6625       1.5432     165.7711
    4908      21.4380       1.7911       0.0000       1.7304       1.4343       1.4886       1.5621       1.4303     186.9466
    4909      21.4670       1.8948       0.0000       1.9049       1.4968       1.5717       1.6022       1.5240     174.4773
    4910      21.4830       1.9086       0.0000       1.9129       1.5395       1.6042       1.6535       1.5500     161.2220
    4911      21.4345       1.8904       0.0000       1.8564       1.5288       1.5824       1.6330       1.5274     174.2151
    4912      21.6037       1.8942       0.0000       1.8151       1.6878       1.7578       1.7767       1.7048     171.8849
    4913      21.5019       1.9296       0.0000       1.9743       1.7916       1.8503       1.8773       1.8054     174.1659
    4914      21.5649       1.8825       0.0000       1.8859       1.5829       1.6451       1.6907       1.6029     182.4549
    4915      21.5751       1.9446       0.0000       1.8396       1.6616       1.7187       1.7645       1.6705     187.1026
    4916      21.5871       1.9686       0.0000       1.9404       1.6698       1.7206       1.7898       1.6602     179.8026
    4917      21.4643       1.9513       0.0000       1.9201       1.6007       1.6607       1.7173       1.6050     173.4159
    4918      21.5385       1.9459       0.0000       1.8121       1.7291       1.7987       1.8206       1.7576     188.7932
    4919      21.5543       1.9403       0.0000       1.9504       1.7690       1.8375       1.8558       1.7935     193.8369
    4920      21.5914       1.8750       0.0000       1.9704       1.6568       1.7160       1.7488       1.6719     178.6800
    4921      21.5803       1.9296       0.0000       1.9456       1.6953       1.7540       1.7864       1.7105     174.7158
    4922      21.6036       1.9424       0.0000       1.8869       1.8481       1.9043       1.9343       1.8553     193.0392
    4923      21.5946       2.0013       0.0000       1.8892       1.8702       1.9308       1.9400       1.8967     178.3691
    4924      21.5566       1.9501       0.0000       1.8395       1.7664       1.8344       1.8823       1.7827     155.8870
    4925      21.6101       1.9419       0.0000       2.0792       1.6699       1.7386       1.7692       1.6889     161.2009
    4926      21.6003       2.0244       0.0000       2.0183       1.8495       1.9136       1.9537       1.8599     172.2404
    4927      21.4987       2.0113       0.0000       2.0915       1.6665       1.7384       1.7544       1.7037     170.9552
    4928      21.5142       1.8281       0.0000       1.9340       1.5742       1.6381       1.6727       1.5950     158.9542
    4929      21.5445       1.7897       0.0000       2.1345       1.5999       1.6517       1.7248       1.5972     180.6064
    4930      21.6276       1.7794       0.0000       1.9762       1.6988       1.7593       1.8084       1.6980     160.2963
    4931      21.6577       1.8396       0.0000       1.9152       1.6269       1.7000       1.7219       1.6494     152.5210
    4932      21.6391       1.7971       0.0000       2.0593       1.6916       1.7554       1.7928       1.6969     161.8613
    4933      21.6499       1.8029       0.0000       2.0569       1.5389       1.6078       1.6411       1.5712     161.4682
    4934      21.5534       1.7554       0.0000       2.1880       1.5149       1.5736       1.6348       1.5237     160.0724
    4935      21.7147       1.7463       0.0000       2.0124       1.5676       1.6319       1.6685       1.5846     169.7510
    4936      21.6086       1.7029       0.0000       1.8833       1.4714       1.5330       1.5887       1.4909     152.9679
    4937      21.5884       1.7064       0.0000       1.8591       1.5948       1.6506       1.6937       1.6038     159.7931
    4938      21.6896       1.7465       0.0000       1.9069       1.6654       1.7309       1.7630       1.6848     175.4478
    4939      21.5936       1.8251       0.0000       2.0368       1.5590       1.6110       1.7019       1.5525     185.2785
    4940      21.5498       1.7686       0.0000       1.8872       1.5957       1.6509       1.6952       1.6001     137.7096
    4941      21.6350       1.7756       0.0000       1.8921       1.5438       1.6052       1.6528       1.5609     170.1865
    4942      21.6031       1.7426       0.0000       1.7891       1.5864       1.6233       1.6926       1.5820     143.7745
    4943      21.5885       1.7520       0.0000       1.8187       1.5676       1.6233       1.6790       1.5858     143.9140
    4944      21.6121       1.7777       0.0000       1.8960       1.6455       1.7103       1.7373       1.6746     133.8236
    4945      21.5268       1.8185       0.0000       1.7792       1.6087       1.6709       1.7109       1.6258     161.3675
    4946      21.5955       1.7937       0.0000       1.8552       1.6643       1.7220       1.7575       1.6765     163.7762
    4947      21.5872       1.7679       0.0000       1.7761       1.7204       1.7752       1.8177       1.7251     152.2002
    4948      21.5944       1.7790       0.0000       1.8316       1.7757       1.8292       1.8824       1.7855     157.7522
    4949      21.5780       1.8713       0.0000       1.8913       1.8291       1.8860       1.9389       1.8416     157.2863
    4950      21.5317       1.8284       0.0000       2.1781       1.8132       1.8732       1.8819       1.8376     162.4045
    4951      21.5370       1.8178       0.0000       2.0115       1.6636       1.7245       1.7653       1.6758     150.7080
    4952      21.5615       1.7707       0.0000       2.0243       1.6252       1.6782       1.7290       1.6300     149.2076
    4953      21.5433       1.8189       0.0000       1.9282       1.5556       1.6119       1.6641       1.5602     165.4146
    4954      21.5884       1.8425       0.0000       2.1844       1.5510       1.5984       1.6621       1.5510     163.9868
    4955      21.5448       1.8774       0.0000       2.0682       1.6529       1.7044       1.7489       1.6650     150.3319
    4956      21.5915       1.8991       0.0000       2.0614       1.7092       1.7639       1.8224       1.7240     161.4612
    4957      21.5877       1.9809       0.0000       1.7054       1.7198       1.7708       1.8246       1.7301     155.0077
    4958      21.6038       1.8980       0.0000       1.8123       1.5807       1.6420       1.6783       1.5929     138.6054
    4959      21.5638       1.9246       0.0000       1.9049       1.5410       1.5938       1.6417       1.5496     151.6992
    4960      21.5662       1.8258       0.0000       2.0729       1.5114       1.5563       1.6335       1.4988     150.5835
    4961      21.5860       1.8601       0.0000       2.0238       1.6800       1.7346       1.7798       1.6918     161.7464
    4962      21.6215       1.9210       0.0000       1.9124       1.7868       1.8426       1.8898       1.8123     152.5440
    4963      21.6178       1.8865       0.0000       1.8123       1.7040       1.7573       1.8020       1.7142     162.1562
    4964      21.5955       1.9357       0.0000       1.7822       1.6102       1.6791       1.7105       1.6349     147.9990
    4965      21.5579       1.8131       0.0000       1.8578       1.6271       1.6845       1.7356       1.6251     151.9090
    4966      21.5609       1.8990       0.0000       1.9578       1.6749       1.7251       1.7721       1.6870     151.8221
    4967      21.6010       1.8588       0.0000       1.7089       1.6513       1.7059       1.7316       1.6685     161.4772
    4968      21.6492       1.9137       0.0000       2.0734       1.7557       1.8088       1.8502       1.7669     167.7570
    4969      21.5768       1.9518       0.0000       2.0029       1.8848       1.9319       1.9620       1.8904     157.2299
    4970      21.5976       1.9599       0.0000       2.0385       1.7447       1.8112       1.8211       1.7643     161.8637
    4971      21.5782       1.9123       0.0000       1.9182       1.6905       1.7461       1.7803       1.6988     163.6026
    4972      21.5935       1.9412       0.0000       2.1130       1.6311       1.6839       1.7399       1.6275     150.6576
    4973      21.5607       1.9529       0.0000       1.9430       1.7170       1.7701       1.8120       1.7169     157.4664
    4974      21.5999       1.9541       0.0000       1.8620       1.6992       1.7475       1.8166       1.6949     154.7646
    4975      21.5532       2.0160       0.0000       2.1393       1.6486       1.7020       1.7530       1.6528     152.9827
    4976      21.4781       2.0008       0.0000       1.8788       1.5608       1.6096       1.6748       1.5589     150.5093
    4977      21.5226       1.9306       0.0000       1.8383       1.5388       1.5879       1.6506       1.5436     148.6636
    4978      21.5569       2.0055       0.0000       1.8345       1.5012       1.5656       1.6142       1.5181     156.6693
    4979      21.5145       1.8228       0.0000       1.8638       1.4071       1.4637       1.5253       1.4083     142.7237
    4980      21.4945       1.8331       0.0000       1.7961       1.5362       1.5981       1.6353       1.5497     148.5488
    4981      21.5409       1.8585       0.0000       1.8769       1.5840       1.6451       1.6948       1.6043     151.4748
    4982      21.4748       1.8302       0.0000       1.7619       1.4600       1.5231       1.5699       1.4770     135.2909
    4983      21.4202       1.8107       0.0000       1.7075       1.5020       1.5659       1.5986       1.5276     139.2215
    4984      21.4316       1.8061       0.0000       1.8149       1.4459       1.4902       1.5982       1.4307     143.6584
    4985      21.5300       1.8236       0.0000       1.7883       1.5285       1.5849       1.6508       1.5338     146.8430
    4986      21.5571       1.7949       0.0000       1.6652       1.4725       1.5348       1.5838       1.4838     145.6494
    4987      21.5121       1.7938       0.0000       1.7023       1.5330       1.5960       1.6478       1.5486     154.4816
    4988      21.5305       1.8634       0.0000       1.8336       1.6043       1.6503       1.7197       1.6074     155.6511
    4989      21.6105       1.8392       0.0000       1.9285       1.6293       1.6785       1.7461       1.6389     147.4005
    4990      21.5613       1.7766       0.0000       1.8677       1.5936       1.6476       1.6914       1.6043     150.3166
    4991      21.5586       1.7918       0.0000       1.9165       1.7166       1.7823       1.8069       1.7448     164.5196
    4992      21.6327       1.8318       0.0000       1.9740       1.7352       1.7942       1.8292       1.7467     164.5136
    4993      21.6882       1.9066       0.0000       1.9975       1.8836       1.9453       1.9762       1.9021     171.0405
    4994      21.7171       1.9865       0.0000       2.3551       2.0092       2.0563       2.1022       2.0135     186.9819
    4995      21.6425       1.9836       0.0000       2.3047       2.0649       2.1144       2.1400       2.0875     185.1880
    4996      21.7139       1.9201       0.0000       2.1314       2.0558       2.1066       2.1498       2.0675     197.3368
    4997      21.6988       1.9711       0.0000       2.0185       1.9470       2.0059       2.0394       1.9561     192.4134
    4998      21.7765       1.9725       0.0000       2.1176       2.0460       2.0964       2.1347       2.0615     187.1014
    4999      21.6388       1.9534       0.0000       2.2019       1.9914       2.0469       2.0772       2.0038     189.8856
    5000      21.7097       1.8733       0.0000       1.9480       1.8936       1.9486       1.9968       1.9053     192.3813
    5001      21.6568       1.8772       0.0000       1.8193       1.9236       1.9713       2.0413       1.9201     172.5641
    5002      21.6860       1.8612       0.0000       1.8876       1.9464       2.0042       2.0515       1.9597     188.0731
    5003      21.6870       1.9091       0.0000       1.6310       1.9416       1.9984       2.0316       1.9548     196.6387
    5004      21.7768       1.9008       0.0000       1.7756       2.0460       2.0891       2.1539       2.0475     203.2829
    5005      21.7328       1.9828       0.0000       1.8081       2.0597       2.1068       2.1618       2.0572     192.7965
    5006      21.7075       2.0012       0.0000       1.7100       2.0709       2.1134       2.1703       2.0724     194.4882
    5007      21.7809       1.9537       0.0000       1.8178       1.9569       2.0082       2.0592       1.9592     193.6624
    5008      21.7301       1.9396       0.0000       1.8898       1.9893       2.0361       2.0880       1.9898     184.1444
    5009      21.7319       1.9746       0.0000       1.8247       1.9972       2.0597       2.0791       2.0234     200.7707
    5010      21.7618       1.8845       0.0000       1.7453       1.9415       1.9992       2.0422       1.9540     188.5875
    5011      21.6233       1.7827       0.0000       1.6636       1.7746       1.8376       1.8890       1.7829     178.7289
    5012      21.6054       1.7259       0.0000       1.6685       1.6116       1.6741       1.7178       1.6263     158.9181
    5013      21.6554       1.7985       0.0000       1.7067       1.6060       1.6700       1.7219       1.6186     163.3557
    5014      21.6243       1.7354       0.0000       1.7429       1.5573       1.6037       1.6792       1.5465     175.7699
    5015      21.6385       1.7655       0.0000       1.5688       1.5828       1.6319       1.6979       1.5875     181.6916
    5016      21.5681       1.7632       0.0000       1.6826       1.6329       1.6982       1.7442       1.6500     188.4281
    5017      21.5719       1.8626       0.0000       1.9541       1.6080       1.6746       1.7073       1.6257     187.1217
    5018      21.5691       1.8614       0.0000       1.8539       1.6743       1.7356       1.7740       1.6907     199.5728
    5019      21.5072       1.7985       0.0000       1.7904       1.6491       1.7068       1.7604       1.6626     177.2914
    5020      21.5582       1.8089       0.0000       1.8784       1.6998       1.7567       1.7903       1.7101     188.2197
    5021      21.5510       1.8894       0.0000       1.6060       1.7559       1.8156       1.8416       1.7698     185.7411
    5022      21.5990       1.8770       0.0000       1.6941       1.7587       1.8146       1.8507       1.7662     188.0071
    5023      21.7116       2.0070       0.0000       1.7569       1.9428       1.9965       2.0427       1.9539     185.6787
    5024      21.7199       1.9452       0.0000       1.8496       1.8586       1.9219       1.9483       1.8820     192.7306
    5025      21.5833       1.9578       0.0000       1.8589       1.8181       1.8730       1.9058       1.8319     172.2911
    5026      21.6313       1.9330       0.0000       1.7709       1.7555       1.8191       1.8638       1.7631     186.1542
    5027      21.5717       1.8462       0.0000       1.8025       1.7794       1.8422       1.8712       1.8016     178.7024
    5028      21.5689       1.8222       0.0000       1.8144       1.6921       1.7498       1.7956       1.7001     172.2380
    5029      21.6465       1.8280       0.0000       1.9176       1.7906       1.8545       1.8791       1.8091     186.1616
    5030      21.8112       1.8739       0.0000       1.8711       2.0054       2.0629       2.1000       2.0077     173.8600
    5031      21.6284       1.7964       0.0000       1.9211       1.7689       1.8326       1.8829       1.7753     176.0199
    5032      21.6390       1.8811       0.0000       1.7931       1.8151       1.8585       1.9195       1.8159     171.1270
    5033      21.6377       1.8608       0.0000       1.8462       1.8604       1.9044       1.9823       1.8482     200.2499
    5034      21.6900       1.8895       0.0000       1.7616       1.9240       1.9716       2.0356       1.9178     194.1054
    5035      21.7209       1.8649       0.0000       1.8171       1.8479       1.9029       1.9481       1.8538     184.4960
    5036      21.6811       1.9566       0.0000       2.0538       1.8926       1.9507       1.9942       1.8947     191.2801
    5037      21.6392       2.0350       0.0000       2.0254       1.9372       1.9900       2.0310       1.9419     197.3485
    5038      21.7130       2.0260       0.0000       1.8989       2.0012       2.0613       2.0983       2.0136     182.0620
    5039      21.6597       1.8804       0.0000       1.9854       1.9126       1.9680       1.9959       1.9294     199.0456
    5040      21.7513       1.9845       0.0000       1.7670       2.0396       2.0925       2.1253       2.0554     198.5314
    5041      21.7582       2.0130       0.0000       2.0103       2.0857       2.1346       2.1891       2.0880     193.6750
    5042      21.8102       1.9520       0.0000       1.8832       2.0583       2.1107       2.1489       2.0778     196.7659
    5043      21.6994       1.7778       0.0000       2.0057       1.8534       1.8965       1.9345       1.8643     190.7112
    5044      21.7547       1.8463       0.0000       1.8319       1.8781       1.9212       1.9777       1.8793     199.5981
